범례,,,,,
O,존재하고 기본적으로 드러나 있음,,,,
H,존재하나 기본적으로 숨겨져 있음,,,,
X ,댓글 시스템이 없음,,,,
수정일,20160811,,,,
,,,,,
대분류,소분류,이름,PC,모바일,비고
포털,1,네이버,O,O,
포털,1,다음,O,O,
포털,1,네이트,O,O,
포털,1,MSN,O,O,
신문사,1,조선일보,O,O,
신문사,1,중앙일보,O,O,
신문사,1,동아일보,O,O,
신문사,2,한겨레,O,H,
신문사,2,경향신문,O,O,
신문사,3,연합뉴스,O,H,
신문사,3,노컷뉴스,O,H,
신문사,3,문화일보,O,X,
신문사,3,한국일보,O,H,
신문사,3,세계일보,O,H,
신문사,3,서울신문,O,H,
신문사,4_경제,한국경제,O,X,
신문사,4_경제,매일경제,O,H,
신문사,4_경제,아시아경제,O,H,
신문사,4_경제,해럴드경제,X,X,
신문사,4_경제,머니투데이,O,H,
잡지,1,주간동아,O,O,
잡지,1,신동아,H,H,
잡지,1,여성동아,O,H,
잡지,2,시사IN,O,O,
잡지,2,시사저널,X,X,
방송사,1_지상파,KBS,O,O,
방송사,1_지상파,MBC,H,H,
방송사,1_지상파,SBS,O,H,
방송사,2_종편,TV조선,O,H,
방송사,2_종편,JTBC,O,O,
방송사,2_종편,채널A,O,O,
방송사,2_종편,MBN,X,X,
방송사,2_종편,YTN,H,H,
인터넷언론,1,전자신문,O,X,
인터넷언론,1,ZDNet,O,X,
인터넷언론,1,디지털타임스,O,X,
인터넷언론,1,파이낸셜뉴스,O,O,
인터넷언론,1,뉴시스,O,O,
인터넷언론,1,아이뉴스24,O,O,
인터넷언론,2,디스패치,O,X,
인터넷언론,2,OSEN,X,X,
인터넷언론,2,마이데일리,O,X,
인터넷언론,2,스포츠조선,X,X,
인터넷언론,2,스포츠동아,X,X,
인터넷언론,2,스포츠경향,O,O,
인터넷언론,F,오마이뉴스,O,H,
인터넷언론,F,프레시안,O,X,
인터넷언론,F,위키트리,O,O,
인터넷언론,F,허핑턴포스트,O,H,
인터넷언론,F,인사이트,O,H,
인터넷매체,F,슬로우뉴스,O,O,
인터넷매체,F,ㅍㅍㅅㅅ,O,O,
인터넷언론,F,뉴데일리,O,O,
인터넷언론,F,데일리안,O,X,
